filename,filesize,codec,compression_time,resolution,bitrate_kbps,PSNR,compression_ratio
output_mpeg1_1280x720_3000k.mp4,25248261,mpeg1,2.740983724594116,1280x720,3000,48.98,0.4416273263334849
output_mpeg1_1280x720_3500k.mp4,28851096,mpeg1,2.7394843101501465,1280x720,3500,49.31,0.38647828144899593
output_mpeg1_720x480_100k.mp4,5305585,mpeg1,2.127933979034424,720x480,100,36.72,1.1925176959750905
output_mpeg1_720x480_200k.mp4,5331216,mpeg1,2.1457557678222656,720x480,200,36.72,1.186784403408153
output_mpeg1_720x480_300k.mp4,5359031,mpeg1,2.1186983585357666,720x480,300,36.72,1.180624631579851
output_mpeg1_720x480_400k.mp4,5839168,mpeg1,2.1443161964416504,720x480,400,39.93,1.0835454640113111
output_mpeg1_720x480_500k.mp4,6563484,mpeg1,2.2733137607574463,720x480,500,41.77,0.9639703547689001
output_mpeg1_720x480_750k.mp4,8411607,mpeg1,2.2092244625091557,720x480,750,44.77,0.752175416659385
output_mpeg1_720x480_1000k.mp4,10268499,mpeg1,2.177199125289917,720x480,1000,46.2,0.6161566554177003
output_mpeg1_720x480_1250k.mp4,12126608,mpeg1,2.204845905303955,720x480,1250,47.32,0.5217455697421736
output_mpeg1_720x480_1500k.mp4,13992550,mpeg1,2.207210063934326,720x480,1500,48.34,0.4521694758996752
output_mpeg1_720x480_2000k.mp4,17522532,mpeg1,2.209800243377685,720x480,2000,48.43,0.36107818208007836
output_mpeg1_720x480_2500k.mp4,20678287,mpeg1,2.2420153617858887,720x480,2500,48.36,0.30597331394036653
output_mpeg1_720x480_3000k.mp4,22247752,mpeg1,2.3190677165985107,720x480,3000,48.42,0.2843884631579856
output_mpeg1_720x480_3500k.mp4,22750781,mpeg1,2.281299114227295,720x480,3500,48.42,0.2781005188349358
output_mpeg1_352x288_100k.mp4,3700306,mpeg1,2.0198192596435547,352x288,100,34.19,1.0509768651565574
output_mpeg1_352x288_200k.mp4,4312376,mpeg1,2.0171923637390137,352x288,200,38.9,0.901808191122481
output_mpeg1_352x288_300k.mp4,5044095,mpeg1,2.0170276165008545,352x288,300,41.79,0.770987858079596
output_mpeg1_352x288_400k.mp4,5782645,mpeg1,2.002012014389038,352x288,400,44.12,0.6725185447143998
output_mpeg1_352x288_500k.mp4,6504801,mpeg1,2.0173873901367188,352x288,500,44.87,0.5978562603221835
output_mpeg1_352x288_750k.mp4,8341341,mpeg1,2.00127387046814,352x288,750,47.08,0.4662243157305282
output_mpeg1_352x288_1000k.mp4,9888659,mpeg1,2.0168614387512207,352x288,1000,47.23,0.393272333488292
output_mpeg1_352x288_1250k.mp4,11061183,mpeg1,2.017300844192505,352x288,1250,47.22,0.3515840936724399
output_mpeg1_352x288_1500k.mp4,11451969,mpeg1,2.017216444015503,352x288,1500,47.22,0.3395866684584983
output_mpeg1_352x288_2000k.mp4,11521423,mpeg1,2.0162949562072754,352x288,2000,47.22,0.33753955566078947
output_mpeg1_352x288_2500k.mp4,11521423,mpeg1,2.0072989463806152,352x288,2500,47.22,0.33753955566078947
output_mpeg1_352x288_3000k.mp4,11521423,mpeg1,2.06319260597229,352x288,3000,47.22,0.33753955566078947
output_mpeg1_352x288_3500k.mp4,11521423,mpeg1,2.032261610031128,352x288,3500,47.22,0.33753955566078947
output_mpeg1_176x144_100k.mp4,3514497,mpeg1,1.908205509185791,176x144,100,38.77,0.8086628043785498
