filename,filesize,codec,block_size,compression_time,compression_ratio,resolution,bitrate_kbps,PSNR
output_h261_176x144_3500k.avi,4306402,h261,16k,0.7815799713134766,0.659957663032852,176x144,3500,44.28
output_mpeg1_1920x1080_100k.mp4,14957717,mpeg1,8k,6.1360979080200195,1.365780152144876,1920x1080,100,39.85
output_mpeg1_1920x1080_200k.mp4,15042619,mpeg1,8k,6.575531959533691,1.358071556555411,1920x1080,200,39.85
output_mpeg1_1920x1080_300k.mp4,15173434,mpeg1,8k,6.840490818023682,1.3463631897696988,1920x1080,300,39.85
output_mpeg1_1920x1080_400k.mp4,15176703,mpeg1,8k,6.058497667312622,1.3460731886233788,1920x1080,400,39.85
output_mpeg1_1920x1080_500k.mp4,15186218,mpeg1,8k,6.2181396484375,1.3452297998092744,1920x1080,500,39.85
output_mpeg1_1920x1080_750k.mp4,15193268,mpeg1,8k,6.128299951553345,1.3446055845259888,1920x1080,750,39.85
output_mpeg1_1920x1080_1000k.mp4,15232438,mpeg1,8k,6.082228899002075,1.3411479501836803,1920x1080,1000,39.85
output_mpeg1_1920x1080_1250k.mp4,15235444,mpeg1,8k,6.359262704849243,1.3408833375646945,1920x1080,1250,39.85
output_mpeg1_1920x1080_1500k.mp4,15236456,mpeg1,8k,6.32720685005188,1.340794276569302,1920x1080,1500,39.85
output_mpeg1_1920x1080_2000k.mp4,17313343,mpeg1,8k,6.202101230621338,1.1799542699523715,1920x1080,2000,44.52
output_mpeg1_1920x1080_2500k.mp4,21067162,mpeg1,8k,7.731346368789673,0.9697059812802503,1920x1080,2500,45.61
output_mpeg1_1920x1080_3000k.mp4,24831913,mpeg1,8k,7.156207084655762,0.8226894561043283,1920x1080,3000,46.51
output_mpeg1_1920x1080_3500k.mp4,28583221,mpeg1,8k,7.0360496044158936,0.7147183657153264,1920x1080,3500,47.38
output_mpeg1_1920x1080_100k.mp4,14957717,mpeg1,16k,6.644439935684204,1.365780152144876,1920x1080,100,39.85
output_mpeg1_1920x1080_200k.mp4,15042619,mpeg1,16k,6.55125617980957,1.358071556555411,1920x1080,200,39.85
output_mpeg1_1920x1080_300k.mp4,15173434,mpeg1,16k,6.513234853744507,1.3463631897696988,1920x1080,300,39.85
output_mpeg1_1920x1080_400k.mp4,15176703,mpeg1,16k,6.391422748565674,1.3460731886233788,1920x1080,400,39.85
output_mpeg1_1920x1080_500k.mp4,15186218,mpeg1,16k,6.059737205505371,1.3452297998092744,1920x1080,500,39.85
output_mpeg1_1920x1080_750k.mp4,15193268,mpeg1,16k,6.092607498168945,1.3446055845259888,1920x1080,750,39.85
output_mpeg1_1920x1080_1000k.mp4,15232438,mpeg1,16k,6.120396852493286,1.3411479501836803,1920x1080,1000,39.85
output_mpeg1_1920x1080_1250k.mp4,15235444,mpeg1,16k,6.095716238021851,1.3408833375646945,1920x1080,1250,39.85
output_mpeg1_1920x1080_1500k.mp4,15236456,mpeg1,16k,6.356391429901123,1.340794276569302,1920x1080,1500,39.85
output_mpeg1_1920x1080_2000k.mp4,17313343,mpeg1,16k,6.017287015914917,1.1799542699523715,1920x1080,2000,44.52
output_mpeg1_1920x1080_2500k.mp4,21067162,mpeg1,16k,6.199378490447998,0.9697059812802503,1920x1080,2500,45.61
output_mpeg1_1920x1080_3000k.mp4,24831913,mpeg1,16k,6.639076232910156,0.8226894561043283,1920x1080,3000,46.51
output_mpeg1_1920x1080_3500k.mp4,28583221,mpeg1,16k,6.378100872039795,0.7147183657153264,1920x1080,3500,47.38
output_mpeg4_1920x1080_100k.mp4,13203769,mpeg4,8k,6.396765947341919,1.5472061802959443,1920x1080,100,38.39
output_mpeg4_1920x1080_200k.mp4,13249107,mpeg4,8k,7.0026702880859375,1.5419116926144532,1920x1080,200,38.39
output_mpeg4_1920x1080_300k.mp4,13357526,mpeg4,8k,6.731191158294678,1.5293964615902675,1920x1080,300,38.39
output_mpeg4_1920x1080_400k.mp4,13428344,mpeg4,8k,6.289696216583252,1.5213307761552728,1920x1080,400,38.39
output_mpeg4_1920x1080_500k.mp4,13436965,mpeg4,8k,6.607308864593506,1.5203547080758193,1920x1080,500,38.39
output_mpeg4_1920x1080_750k.mp4,13451408,mpeg4,8k,6.572918653488159,1.5187222779949876,1920x1080,750,38.39
output_mpeg4_1920x1080_1000k.mp4,13457796,mpeg4,8k,6.425281524658203,1.5180013874485838,1920x1080,1000,38.39
output_mpeg4_1920x1080_1250k.mp4,13467515,mpeg4,8k,6.291428565979004,1.5169059028335963,1920x1080,1250,38.39
output_mpeg4_1920x1080_1500k.mp4,13470260,mpeg4,8k,6.136401891708374,1.516596784323391,1920x1080,1500,38.39
output_mpeg4_1920x1080_2000k.mp4,17284118,mpeg4,8k,6.49132513999939,1.1819494058071114,1920x1080,2000,44.84
output_mpeg4_1920x1080_2500k.mp4,21056343,mpeg4,8k,6.591890573501587,0.9702042277711757,1920x1080,2500,46.01
output_mpeg4_1920x1080_3000k.mp4,24820352,mpeg4,8k,6.458933591842651,0.823072654247611,1920x1080,3000,46.97
output_mpeg4_1920x1080_3500k.mp4,28602459,mpeg4,8k,6.524042367935181,0.7142376464904643,1920x1080,3500,47.7
